name,platform,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count,rating,date
Pride of Nations,PC,2011.0,Strategy,Paradox Interactive,0.0,0.01,0.0,0.0,0.01,70.0,14.0,5.6,16.0,T,2011-09-07
Zorro: Quest For Justice,DS,2009.0,Action,505 Games,0.01,0.0,0.0,0.0,0.01,,,,,E10+,2009-09-21
Anpanman to Touch de Waku Waku Training,DS,2009.0,Misc,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01,,,,,,2009-07-20
The Dwarves,XOne,2016.0,Role-Playing,THQ Nordic,0.01,0.0,0.0,0.0,0.01,58.0,12.0,3.7,15.0,M,2016-11-23
Port Royale 3,PC,2012.0,Simulation,Kalypso Media,0.01,0.0,0.0,0.0,0.01,,,,,,2012-11-23
Rome: Total War Anthology,PC,2008.0,Strategy,Sega,0.0,0.01,0.0,0.0,0.01,,,,,,2008-07-05
Guilty Gear 2: Overture,X360,2007.0,Fighting,505 Games,0.0,0.0,0.01,0.0,0.01,56.0,12.0,5.7,7.0,T,2007-03-01
Bob the Builder: Festival of Fun,Wii,2009.0,Action,Blast! Entertainment Ltd,0.0,0.01,0.0,0.0,0.01,,,,,,2009-01-24
Blades of Thunder II,DS,2006.0,Simulation,Summitsoft,0.01,0.0,0.0,0.0,0.01,,,,,E10+,2006-12-23
Flowers: Autumn Story,PSV,2016.0,Adventure,Prototype,0.0,0.0,0.01,0.0,0.01,,,,,,2016-06-25
Gothic Fiction: Dark Saga,PC,2015.0,Misc,Big Fish Games,0.0,0.01,0.0,0.0,0.01,,,,,,2015-02-07
KLAP!! Kind Love And Punish,PSV,2015.0,Action,Idea Factory,0.0,0.0,0.01,0.0,0.01,,,,,,2015-03-17
Anpanman Niko Niko Party,Wii,2010.0,Misc,Agatsuma Entertainment,0.0,0.0,0.01,0.0,0.01,,,,,,2010-08-24
The City of Lost Children,PS,1997.0,Adventure,Psygnosis,0.0,0.0,0.0,0.0,0.01,,,,,,1997-10-02
Kings Field: Additional I,PSP,2006.0,Role-Playing,From Software,0.0,0.0,0.01,0.0,0.01,,,,,,2006-10-10
Victorian Mysteries: Woman in White,PC,2010.0,Strategy,Avanquest,0.0,0.01,0.0,0.0,0.01,,,,,E10+,2010-12-18
Hugo: The Evil Mirror,GBA,2002.0,Action,ITE Media,0.01,0.0,0.0,0.0,0.01,58.0,15.0,,,E,2002-10-23
Command & Conquer: Generals,PC,2003.0,Strategy,Electronic Arts,0.01,0.0,0.0,0.0,0.01,,,,,,2003-10-11
Action Girlz Racing,Wii,2007.0,Racing,Metro 3D,0.01,0.0,0.0,0.0,0.01,,,1.7,33.0,E,2007-07-05
Puchi Eva: Evangelion @ Game,DS,2008.0,Simulation,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01,,,,,,2008-01-11
Backyard Sports Baseball 2007,PS2,2006.0,Sports,Atari,0.0,0.0,0.0,0.0,0.01,,,,,E,2006-05-21
Fabled Legends: The Dark Piper,PC,2014.0,Action,Big Fish Games,0.0,0.01,0.0,0.0,0.01,,,,,T,2014-12-17
Harry Potter and the Goblet of Fire,PC,2005.0,Action,Electronic Arts,0.0,0.01,0.0,0.0,0.01,66.0,16.0,4.0,41.0,E10+,2005-04-06
Generation of Chaos: Pandoras Reflection,PSP,2008.0,Strategy,Idea Factory,0.0,0.0,0.01,0.0,0.01,70.0,4.0,7.9,17.0,T,2008-05-13
Pirates of Black Cove,PC,2011.0,Adventure,Paradox Interactive,0.0,0.01,0.0,0.0,0.01,56.0,21.0,5.8,29.0,T,2011-06-06
Shinkyouku Soukai Polyphonica: 3&4 Hanashi Kanketsuhen,PS2,2007.0,Adventure,Prototype,0.0,0.0,0.01,0.0,0.01,,,,,,2007-03-14
X-Men Legends II: Rise of Apocalypse,PC,2005.0,Role-Playing,Activision,0.01,0.0,0.0,0.0,0.01,80.0,24.0,8.5,44.0,T,2005-04-25
The Escapists,PC,2014.0,Action,Team17 Software,0.0,0.01,0.0,0.0,0.01,71.0,24.0,6.7,73.0,,2014-11-12
Time Ace,DS,2007.0,Simulation,Konami Digital Entertainment,0.01,0.0,0.0,0.0,0.01,52.0,19.0,,,E10+,2007-01-04
Winning Post World 2010,Wii,2010.0,Sports,Tecmo Koei,0.0,0.0,0.01,0.0,0.01,,,,,,2010-05-16
Chronicles of Mystery: The Scorpio Ritual,PC,2008.0,Adventure,City Interactive,0.0,0.01,0.0,0.0,0.01,62.0,12.0,5.6,12.0,E10+,2008-10-24
Otome Riron to Sono Shuuhen: Bon Voyage,PSV,2016.0,Adventure,dramatic create,0.0,0.0,0.01,0.0,0.01,,,,,,2016-10-23
Teenage Mutant Ninja Turtles: Out of the Shadows,X360,2013.0,Action,Activision,0.0,0.01,0.0,0.0,0.01,38.0,28.0,5.3,173.0,T,2013-03-15
MetropolisMania 2,PS2,2006.0,Strategy,Ubisoft,0.0,0.0,0.0,0.0,0.01,37.0,4.0,6.3,4.0,E10+,2006-07-15
Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Koushiki Soft: 250 Banjin no KanKen Premium - Zenkyuu Zen-Kanji Kanzen Seiha,DS,2009.0,Misc,IE Institute,0.0,0.0,0.01,0.0,0.01,,,,,,2009-05-04
NCAA College Basketball 2K3,GC,2002.0,Sports,Sega,0.01,0.0,0.0,0.0,0.01,82.0,11.0,,,E,2002-12-19
Genji Koi Emaki,PSV,2015.0,Action,Quinrose,0.0,0.0,0.01,0.0,0.01,,,,,,2015-07-19
The Tiny Bang Story,PC,2011.0,Adventure,Unknown,0.0,0.01,0.0,0.0,0.01,63.0,12.0,7.4,55.0,,2011-04-13
Painkiller: Hell & Damnation,PC,2012.0,Shooter,Nordic Games,0.0,0.01,0.0,0.0,0.01,,,,,,2012-05-06
Pawly Pets: My Pet Hotel,DS,2007.0,Simulation,Ubisoft,0.0,0.01,0.0,0.0,0.01,,,,,,2007-06-19
D-Day,PC,2004.0,Strategy,Digital Jesters,0.0,0.01,0.0,0.0,0.01,56.0,19.0,8.2,5.0,T,2004-01-17
Bratz: Forever Diamondz,GBA,2006.0,Adventure,THQ,0.01,0.0,0.0,0.0,0.01,,,,,E,2006-05-14
Jissen Pachi-Slot Pachinko Hisshouhou! Wii Hokuto no Ken Sammys Collection,Wii,2007.0,Misc,Sega,0.0,0.0,0.01,0.0,0.01,,,,,,2007-12-19
4 Play Collection: Treasure Hunters,PC,2014.0,Action,Avanquest Software,0.0,0.01,0.0,0.0,0.01,,,,,,2014-03-13
Dangerous Waters,PC,2006.0,Simulation,Black Bean Games,0.0,0.01,0.0,0.0,0.01,82.0,24.0,8.8,28.0,E,2006-09-21
Teikoku Kaigun Renbojou: Meiji Yokosuka Koushinkyoku,PSV,2015.0,Action,D3Publisher,0.0,0.0,0.01,0.0,0.01,,,,,,2015-11-02
SimCity 3000 Unlimited,PC,2000.0,Simulation,Electronic Arts,0.01,0.0,0.0,0.0,0.01,77.0,9.0,8.8,50.0,E,2000-05-07
Harakuju Tantei Gakuen: Steel Wood,PSP,2010.0,Adventure,Idea Factory,0.0,0.0,0.01,0.0,0.01,,,,,,2010-01-05
Saka Agari Hurricane Portable,PSV,2017.0,Adventure,Entergram,0.0,0.0,0.01,0.0,0.01,,,,,,2017-03-15
Kira * Kira: Rock n Roll Show,PS2,2009.0,Adventure,Princess Soft,0.0,0.0,0.01,0.0,0.01,,,,,,2009-08-06
Windy X Windam,DS,2008.0,Fighting,Success,0.01,0.0,0.0,0.0,0.01,,,,,T,2008-12-18
WRC 5: FIA World Rally Championship,X360,2015.0,Sports,Bigben Interactive,0.0,0.01,0.0,0.0,0.01,,,,,,2015-05-05
Brave: Shamans Challenge,DS,2009.0,Action,SouthPeak Games,0.01,0.0,0.0,0.0,0.01,,,,,E,2009-11-03
School Wars: Graduation Front,PSP,2013.0,Adventure,Quinrose,0.0,0.0,0.01,0.0,0.01,,,,,,2013-08-01
Myself; Yourself: Sorezore no Finale,PS2,2009.0,Adventure,Yeti,0.0,0.0,0.01,0.0,0.01,,,,,,2009-12-07
